schema_name	table_name	merged_columns	current_datatype
demo	customer_docs	doc_text	clob
demo	large_text_chunks	chunk_text	clob
demo	type_samples	v_clob	clob
demo_cron	payload_store	payload_text	clob
demo_cron	txn_events	event_note	clob
public	clob_test	id	clob
public	test1	d	clob
public	vw_clob_test	id	clob
