object_owner	schema_name	object_name	policy_group	policy_name	pf_owner	package	function
ENTERPRISEDB	PUBLIC	VPEMP		SECURE_SALARY	PUBLIC		SAL_LT_2000
ENTERPRISEDB	PUBLIC	VPEMP		SECURE_UPDATE	PUBLIC		VERIFY_SESSION_USER
